,user,matchId,startTime,endTime,map,kills,medalXp,objectiveMedalModeSdDefuseScore,matchXp,averageSpeedDuringMatch,scoreXp,accuracy,wallBangs,losses,avgLifeTime,shotsLanded,score,totalXp,objectiveExecution,headshots,assists,rank,scorePerMinute,distanceTraveled,deaths,wins,kdRatio,shotsMissed,scorePerGame,timePlayed,headshotPercentage,matchesPlayed,executions,suicides,wlRatio,nearmisses,percentTimeMoving,miscXp,objectiveUavAssist,longestStreak,damageDone,shotsFired,damageTaken,objectivePlant,objectiveMedalModeSdDetonateScore,objectiveMedalModeXDefendScore,objectiveMedalModeXAssaultScore,objectiveLastManKill,objectiveDestroyedEquipment,objectiveMedalModeSdDefuseSaveScore,objectiveMedalScoreSsKillCruisePredator,objectiveShieldAssist,objectiveShieldDamage,objectiveMedalModeSdLastDefuseScore,objectiveMedalModeSdPlantSaveScore,objectiveEmpedPlayer,objectiveMedalScoreKillSsRadarDrone,objectiveMedalScoreSsKillHoverJet,objectiveMedalScoreSsKillPrecisionAirstrike,objectivePerkMarkedTarget
0,kingfishy,4885375733968317731,1592148774000,1592149453000,mp_cave_am,6.0,3115.0,1.0,2353.0,76.49325,810.0,0.3076923076923077,0.0,0.0,241.0,24.0,960.0,12556.0,2.0,0.0,2.0,54.0,79.66804979253112,25378.45,2.0,1.0,3.0,54.0,960.0,723.0,0.0,1.0,2.0,1.0,0.0,37.0,70.89552,0.0,1.0,5.0,709.0,78.0,476.0,,,,,,,,,,,,,,,,,
1,kingfishy,5418515575200988164,1592147783000,1592148608000,mp_piccadilly,2.0,1860.0,,2352.0,71.88558,375.0,0.23255813953488372,0.0,0.0,125.28571428571429,10.0,525.0,9174.0,,0.0,1.0,54.0,35.91790193842645,15193.864,6.0,1.0,0.3333333333333333,33.0,525.0,877.0,0.0,1.0,0.0,0.0,0.0,25.0,24.19355,0.0,,1.0,375.0,43.0,824.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2,kingfishy,3990565239142076824,1592146955000,1592147668000,mp_vacant,3.0,2100.0,,2772.0,116.154465,525.0,0.14685314685314685,0.0,0.0,108.28571428571429,21.0,525.0,10794.0,,0.0,6.0,54.0,41.556728232189975,12966.06,6.0,1.0,0.5,122.0,525.0,758.0,0.0,1.0,0.0,0.0,0.0,39.0,67.567566,0.0,,2.0,646.0,143.0,634.0,,,,,,,,,,,,,,,,,
3,kingfishy,17685173223096147793,1592146233000,1592146832000,mp_petrograd,4.0,1600.0,,2458.0,147.54199,400.0,0.28169014084507044,1.0,0.0,310.0,20.0,400.0,8916.0,,2.0,0.0,54.0,38.70967741935484,30972.395,1.0,1.0,4.0,51.0,400.0,620.0,0.5,1.0,0.0,0.0,0.0,32.0,77.77778,0.0,,2.0,497.0,71.0,100.0,,,,,,,,,,,,,,,,,
4,kingfishy,7948932479694618911,1592145358000,1592146123000,mp_raid,7.0,3365.0,,3311.0,137.2764,785.0,0.2677165354330709,0.0,0.0,134.66666666666666,34.0,835.0,14922.0,,0.0,0.0,54.0,62.0049504950495,26974.719,5.0,1.0,1.4,93.0,835.0,808.0,0.0,1.0,0.0,0.0,0.0,53.0,80.24691,0.0,6.0,5.0,991.0,127.0,654.0,,,,1.0,1.0,,,,,,,,,,,,
5,kingfishy,18103214662030981063,1592087560000,1592088244000,mp_scrapyard,6.0,3580.0,,2328.0,0.0,1000.0,0.12345679012345678,0.0,0.0,121.16666666666667,20.0,1200.0,13816.0,,1.0,3.0,54.0,99.03713892709766,16367.693,5.0,1.0,1.2,142.0,1200.0,727.0,0.16666666666666666,1.0,0.0,0.0,0.0,71.0,0.0,0.0,5.0,5.0,793.0,162.0,623.0,2.0,,,4.0,,,,,,,,,,,,,
6,kingfishy,4906668666480118804,1592086659000,1592087459000,mp_hackney_am,9.0,3740.0,,3491.0,35.868774,910.0,0.27710843373493976,0.0,1.0,106.875,46.0,910.0,16282.0,,3.0,0.0,54.0,63.85964912280702,13403.375,7.0,0.0,1.2857142857142858,120.0,910.0,855.0,0.3333333333333333,1.0,0.0,0.0,0.0,77.0,25.0,0.0,1.0,4.0,1253.0,166.0,925.0,,,,,,,,,,,,,,,,,
7,kingfishy,12355346328856210988,1592085846000,1592086538000,mp_spear,8.0,3710.0,,4511.0,0.0,920.0,0.2814814814814815,0.0,0.0,148.6,38.0,920.0,18282.0,,2.0,0.0,54.0,74.29340511440108,17233.111,4.0,1.0,2.0,97.0,920.0,743.0,0.25,1.0,0.0,0.0,0.0,63.0,0.0,0.0,2.0,5.0,1042.0,135.0,456.0,1.0,,,,,,,,,,,,,,,,
8,kingfishy,9966750711792952087,1592085668000,1592085705000,mp_runner,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,
9,kingfishy,4438601815499926678,1592056047000,1592056875000,mp_piccadilly,7.0,2965.0,,2142.0,186.25897,730.0,0.25,0.0,0.0,219.75,6.0,830.0,11674.0,,3.0,0.0,54.0,56.65529010238908,28903.574,3.0,1.0,2.3333333333333335,18.0,830.0,879.0,0.42857142857142855,1.0,0.0,0.0,0.0,12.0,85.36585,0.0,3.0,7.0,728.0,24.0,623.0,,,1.0,1.0,,,,,,,,,,,,,
10,kingfishy,6490880731701305878,1592055163000,1592055842000,mp_m_speed,6.0,2860.0,,2558.0,96.54149,660.0,0.26666666666666666,0.0,0.0,146.0,24.0,710.0,12156.0,,2.0,0.0,54.0,58.35616438356164,14035.664,4.0,1.0,1.5,66.0,710.0,730.0,0.3333333333333333,1.0,0.0,0.0,0.0,42.0,48.780487,0.0,1.0,4.0,624.0,90.0,574.0,,,1.0,,,2.0,,,,,,,,,,,
11,kingfishy,3815907216522940924,1592054416000,1592054940000,mp_m_speed,5.0,2065.0,,1422.0,54.92524,525.0,0.2235294117647059,0.0,1.0,71.375,19.0,525.0,8024.0,,1.0,1.0,54.0,55.166374781085814,7075.999,7.0,0.0,0.7142857142857143,66.0,525.0,571.0,0.2,1.0,0.0,0.0,0.0,40.0,24.19355,0.0,,2.0,690.0,85.0,758.0,,,,,,,,,,,,,,,,,
12,kingfishy,4671775234710604416,1592000043000,1592001053000,mp_spear,8.0,3555.0,,3397.0,53.06399,800.0,0.20994475138121546,0.0,1.0,106.5,38.0,950.0,15504.0,,1.0,0.0,54.0,53.52112676056338,26771.844,9.0,0.0,0.8888888888888888,143.0,950.0,1065.0,0.125,1.0,0.0,0.0,0.0,80.0,43.65079,0.0,,2.0,732.0,181.0,988.0,,,1.0,2.0,,,,,,,,,,,,,
13,kingfishy,9352427695729394430,1591998726000,1591999855000,mp_cave_am,9.0,4300.0,,5326.0,124.24901,900.0,0.24311926605504589,0.0,0.0,118.8,53.0,900.0,21052.0,,1.0,0.0,54.0,45.45454545454545,30130.477,9.0,1.0,1.0,165.0,900.0,1188.0,0.1111111111111111,1.0,0.0,0.0,0.0,88.0,86.666664,0.0,,4.0,1102.0,218.0,1069.0,,,,,,,,,,,,,,,,,
14,kingfishy,14863236613983846169,1591997418000,1591998577000,mp_raid,6.0,2865.0,,4589.0,114.06495,600.0,0.25287356321839083,0.0,0.0,172.28571428571428,22.0,650.0,16108.0,,0.0,0.0,54.0,32.33830845771144,49354.98,6.0,1.0,1.0,65.0,650.0,1206.0,0.0,1.0,0.0,0.0,0.0,22.0,92.391304,0.0,,2.0,803.0,87.0,628.0,,,1.0,,,,,,,,,,,,,,
15,kingfishy,11755474708108351053,1591996411000,1591997306000,mp_backlot2,4.0,3045.0,,3427.0,86.50609,450.0,0.12365591397849462,0.0,0.0,119.125,23.0,550.0,13844.0,,1.0,2.0,54.0,34.62749213011542,34342.41,7.0,1.0,0.5714285714285714,163.0,550.0,953.0,0.25,1.0,0.0,0.0,0.0,89.0,55.555553,0.0,,1.0,524.0,186.0,701.0,,,2.0,,,,,,,,,,,,,,
16,kingfishy,2029130910418821663,1591995696000,1591996132000,mp_village2,6.0,2745.0,,2361.0,240.5874,620.0,0.2714285714285714,0.0,0.0,242.0,38.0,720.0,11452.0,,0.0,0.0,54.0,89.25619834710743,11325.227,1.0,1.0,6.0,102.0,720.0,484.0,0.0,1.0,0.0,0.0,0.0,71.0,93.75,0.0,2.0,4.0,658.0,140.0,325.0,,,2.0,,,,,,,,,,,,,,
17,kingfishy,16584555566288643051,1591994845000,1591995590000,mp_m_speed,5.0,2340.0,,1952.0,104.29367,510.0,0.16470588235294117,0.0,0.0,159.4,28.0,510.0,9604.0,,1.0,0.0,54.0,38.393977415307404,16767.428,4.0,1.0,1.25,142.0,510.0,797.0,0.2,1.0,0.0,0.0,0.0,74.0,84.90566,0.0,1.0,4.0,661.0,170.0,508.0,,,,,,,,,,,,,,,,,
18,kingfishy,15449288231127186171,1591993834000,1591994277000,mp_m_speed,2.0,1610.0,,1684.0,0.0,350.0,0.23863636363636365,0.0,0.0,121.5,21.0,450.0,7288.0,,0.0,1.0,54.0,55.55555555555556,9356.569,3.0,1.0,0.6666666666666666,67.0,450.0,486.0,0.0,1.0,0.0,0.0,0.0,44.0,0.0,0.0,,2.0,426.0,88.0,429.0,1.0,,1.0,1.0,,,,,,,,,,,,,
19,kingfishy,9049593915598241623,1591993293000,1591993727000,mp_vacant,6.0,2825.0,,2151.0,0.0,690.0,0.25396825396825395,1.0,0.0,241.5,32.0,740.0,11332.0,,3.0,0.0,54.0,91.92546583850933,11812.825,1.0,1.0,6.0,94.0,740.0,483.0,0.5,1.0,0.0,0.0,0.0,51.0,0.0,0.0,4.0,5.0,696.0,126.0,100.0,,,,1.0,2.0,,,,,,,,,,,,
20,kingfishy,14691075106936797208,1591992098000,1591993168000,mp_spear,10.0,5290.0,,6116.0,59.10928,1175.0,0.2948717948717949,0.0,0.0,140.25,46.0,1375.0,25162.0,,2.0,1.0,54.0,73.52941176470588,34984.633,7.0,1.0,1.4285714285714286,110.0,1375.0,1122.0,0.2,1.0,0.0,0.0,0.0,71.0,29.411762,0.0,,3.0,1383.0,156.0,1018.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,
21,kingfishy,16500257963622266632,1591991314000,1591991963000,mp_scrapyard,5.0,2220.0,,1754.0,121.45434,500.0,0.15730337078651685,0.0,0.0,87.125,14.0,550.0,8948.0,,1.0,0.0,54.0,47.34576757532281,12022.699,7.0,1.0,0.7142857142857143,75.0,550.0,697.0,0.2,1.0,0.0,0.0,0.0,33.0,72.916664,0.0,,2.0,472.0,89.0,858.0,,,,1.0,,,,,,,,,,,,,
22,kingfishy,11577288999835273034,1591990544000,1591991200000,mp_crash2,2.0,1890.0,,2997.0,0.0,225.0,0.15151515151515152,0.0,0.0,120.0,10.0,325.0,10224.0,,1.0,1.0,54.0,27.083333333333332,17107.045,5.0,1.0,0.4,56.0,325.0,720.0,0.5,1.0,0.0,0.0,0.0,20.0,0.0,0.0,,1.0,382.0,66.0,674.0,,,2.0,,,,,,,,,,,,,,
